state,electricity price,"gasoline price"
Alabama,11.47,2.751
Alaska,21.41,3.874
Arizona,12.19,3.488
Arkansas,9.73,2.681
California,24.87,4.663
Colorado,11.76,2.934
Connecticut,24.24,3.096
Delaware,12.85,2.967
District of Columbia,16.5,3.23
Florida,13.53,2.929
Georgia,11.06,2.878
Hawaii,38.6,4.488
Idaho,9.08,3.464
Illinois,11.75,3.235
Indiana,11.49,2.876
Iowa,9.42,2.805
Kansas,10.8,2.778
Kentucky,9.96,2.736
Louisiana,8.91,2.694
Maine,20.84,3.049
Maryland,14.34,3.072
Massachusetts,23.21,3.045
Michigan,13.68,2.933
Minnesota,12.21,2.903
Mississippi,10.95,2.664
Missouri,10.87,2.743
Montana,10.97,3.094
Nebraska,9.14,2.873
Nevada,13.09,3.894
New Hampshire,22.96,2.985
New Jersey,15.27,3.018
New Mexico,9.47,2.861
New York,18.28,3.164
North Carolina,10.61,2.86
North Dakota,8.03,2.868
Ohio,11.04,2.823
Oklahoma,9.3,2.583
Oregon,10.32,4.098
Pennsylvania,12.57,3.275
Rhode Island,21.62,2.996
South Carolina,10.5,2.79
South Dakota,10.49,2.891
Tennessee,10.69,2.709
Texas,10.04,2.677
Utah,9.03,3.363
Vermont,17.53,3.153
Virginia,10.68,2.961
Washington,9.58,4.482
West Virginia,10.26,2.961
Wisconsin,12.72,2.724
Wyoming,8.39,3.05

